pignum,time_point,pig_weight,temp,pan_wt,wet_wt,Dry_wt_pan,Dry_weight,percent_drymatter,daily_shedding,treatment,total_shedding
253,7,17.66,102,1.05,1.03,1.3,0.25,24.27184466,4.60517018598809,Bglu,17.946395015176073
461,7,15.36,102.5,1.05,1,1.36,0.31,31,4.60517018598809,Bglu,12
8,7,19.18,102.5,1.09,1.02,1.39,0.3,29.41176471,7.82404601085629,Bglu,8.4948500216801
141,7,14.16,102.9,1.09,1.03,1.32,0.23,22.33009709,6.47697236288968,Bglu,16.62355280483699
226,7,13.78,102.2,1.08,1.05,1.39,0.31,29.52380952,5.01063529409626,Bglu,11.38662316281527
237,7,19.26,102.4,1.07,1,1.32,0.25,25,3.91202300542815,Bglu,14.747425010840049
77,0,11.44,101.7,NA,NA,NA,NA,NA,0,control,0
87,0,12.16,102.5,1.07,1.02,1.35,0.28,27.45098039,0,control,0
122,0,17.06,102.5,1.09,0.98,1.37,0.28,28.57142857,0,control,0
160,0,13.3,102.7,1.03,1.04,1.34,0.31,29.80769231,0,control,0
191,0,14.32,102.2,1.08,1.02,1.36,0.28,27.45098039,0,control,0
224,0,11.56,102,1.05,1.03,1.33,0.28,27.18446602,0,control,0
337,0,13.28,102.2,1.07,1.01,1.37,0.3,29.7029703,0,control,0
345,0,16.18,101.8,NA,NA,NA,NA,NA,0,control,0
419,0,14.18,102.6,1.07,1.01,1.35,0.28,27.72277228,0,control,0
458,0,12.6,102.5,1.05,1,1.32,0.27,27,0,control,0
50,0,14.24,102.2,1.03,1.02,1.32,0.29,28.43137255,0,RPS,0
93,0,14.08,102.4,1.09,0.98,1.34,0.25,25.51020408,0,RPS,0
97,0,12.06,103,1.12,1.02,1.38,0.26,25.49019608,0,RPS,0
181,0,17.62,103.2,1.07,1.05,1.37,0.3,28.57142857,0,RPS,0
244,0,15.84,103.8,1.04,1.04,1.28,0.24,23.07692308,0,RPS,0
321,0,15.24,103.5,1.07,1,1.34,0.27,27,0,RPS,0
355,0,14.5,103.6,1.04,1.02,1.28,0.24,23.52941176,0,RPS,0
373,0,16.56,103.6,1.07,1.04,1.31,0.24,23.07692308,0,RPS,0
392,0,13.08,102.3,1.06,1,1.29,0.23,23,0,RPS,0
26,0,11.48,102.8,1.09,1.01,1.36,0.27,26.73267327,0,Acid,0
52,0,17.48,102.9,1.07,0.99,1.31,0.24,24.24242424,0,Acid,0
126,0,12.42,102.7,1.08,1.04,1.32,0.24,23.07692308,0,Acid,0
152,0,15.16,103.3,1.07,1.01,1.31,0.24,23.76237624,0,Acid,0
178,0,16.7,102,1.06,1.01,1.31,0.25,24.75247525,0,Acid,0
211,0,14.16,103.3,1.07,1.01,1.35,0.28,27.72277228,0,Acid,0
348,0,14.24,102.9,1.01,1.05,1.28,0.27,25.71428571,0,Acid,0
361,0,9.48,103.3,1.05,1,1.18,0.13,13,0,Acid,0
378,0,15.92,103.4,1.06,1,1.34,0.28,28,0,Acid,0
426,0,17.38,103.4,1.06,1,1.32,0.26,26,0,Acid,0
74,0,13.54,103.4,1.09,1.04,1.36,0.27,25.96153846,0,Zn+Cu,0
83,0,22.4,103.7,1.07,0.98,1.31,0.24,24.48979592,0,Zn+Cu,0
219,0,12.64,103,1.08,1.04,1.37,0.29,27.88461538,0,Zn+Cu,0
265,0,14.86,103.5,1.05,0.99,1.33,0.28,28.28282828,0,Zn+Cu,0
295,0,19.84,103.8,1.05,1.04,1.3,0.25,24.03846154,0,Zn+Cu,0
326,0,19.08,103.4,1.05,0.99,1.28,0.23,23.23232323,0,Zn+Cu,0
422,0,16.32,103.8,1.1,1,1.35,0.25,25,0,Zn+Cu,0
432,0,15.16,102.5,1.11,1.02,1.34,0.23,22.54901961,0,Zn+Cu,0
450,0,13.7,104.1,1.06,1,1.29,0.23,23,0,Zn+Cu,0
472,0,15.38,103.8,1.08,1,1.33,0.25,25,0,Zn+Cu,0
22,0,12.82,103.9,1.06,1.05,1.35,0.29,27.61904762,0,RCS,0
43,0,13.6,102.9,1.04,1.11,1.33,0.29,26.12612613,0,RCS,0
65,0,15.14,102.5,1.02,0.99,1.29,0.27,27.27272727,0,RCS,0
119,0,16.08,103.6,1.02,1.07,1.31,0.29,27.10280374,0,RCS,0
138,0,11.94,102.4,1.09,1.05,1.34,0.25,23.80952381,0,RCS,0
175,0,15.52,103,1.08,1,1.34,0.26,26,0,RCS,0
198,0,12.66,102.4,1.07,1.06,1.34,0.27,25.47169811,0,RCS,0
397,0,17.44,103,1.07,1.06,1.37,0.3,28.30188679,0,RCS,0
453,0,17.5,103.5,1.07,1,1.29,0.22,22,0,RCS,0
469,0,14.14,102.1,1.04,1.01,1.3,0.26,25.74257426,0,RCS,0
6,0,14.46,102.4,1.06,1.01,1.26,0.2,19.8019802,0,Bglu,0
144,0,15.76,102.6,1.07,1.02,1.35,0.28,27.45098039,0,Bglu,0
228,0,14.2,102.1,1.04,0.99,1.31,0.27,27.27272727,0,Bglu,0
240,0,14.88,102.4,1.08,1.03,1.46,0.38,36.89320388,0,Bglu,0
253,0,15.32,103,1.06,1.05,1.33,0.27,25.71428571,0,Bglu,0
461,0,12.16,102.3,1.09,1.04,1.4,0.31,29.80769231,0,Bglu,0
8,0,16.22,102.8,1.04,1,1.34,0.3,30,0,Bglu,0
141,0,11.5,102.1,1.07,1.05,1.37,0.3,28.57142857,0,Bglu,0
226,0,10.76,102,1.03,0.98,1.27,0.24,24.48979592,0,Bglu,0
237,0,16.66,102.2,1.06,1.01,1.23,0.17,16.83168317,0,Bglu,0
77,14,19.58,NA,NA,NA,NA,NA,NA,3.91202300542815,control,24.19382002601612
87,14,18.72,NA,NA,NA,NA,NA,NA,4.60517018598809,control,30.93433265762049
122,14,26.26,NA,NA,NA,NA,NA,NA,6.95654544315157,control,40.859251985990745
160,14,23.2,NA,NA,NA,NA,NA,NA,3.91202300542815,control,33.07684139503324
191,14,23.06,NA,NA,NA,NA,NA,NA,3.91202300542815,control,26.850633170402052
224,14,16.92,NA,NA,NA,NA,NA,NA,3.91202300542815,control,44.23376790039151
337,14,22.24,NA,NA,NA,NA,NA,NA,6.21460809842219,control,48.36738688517957
